division,isco_08_code,isco_08_title,occupation_code,occupation_name,occupation_description,qualification_pack_reference,nswf_level
1,1120,"Managing Directors and Chief
 Executives",c_1120.1400,"Director, Mines","Director, Mine plans, directs and co-
 ordinates, within powers delegated
 activities of public or private organizations
 engaged in extracting coal, ores, mica,
 precious stones and other solid minerals
 from underground mines or open pits and
 in treating and dressing ore or minerals at
 mine site. Is designated according to work
 performed or powers delegated such as:
 MANAGING DIRECTOR (MINES).
 DIRECTOR, SALES (MINES).",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1500,"Director, Quarry","Director, Quarry plans, directs and co-
 ordinates, within powers delegated,
 activities of public or private organization
 engaged in excavating stone, slate, clay
 and sand from earth. Is designated
 according to work performed or powers
 exercised such as: MANAGING DIRECTOR,
 QUARRY, DIRECTOR, STONE QUARRY.
 DIRECTOR, MARBLE QUARRY. DIRECTOR,
 LIMESTONE QUARRY.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1600,"Director, Well Drilling","Director, Well Drilling plans, directs and
 co-ordinates, within powers delegated,
 activities of public or private organization
 engaged in drilling and sinking deep wells
 and operating wells for extraction of
 mineral oil, natural gas, etc. Is designated
 according to work performed or economic
 activity directed, such as: MANAGING
 DIRECTOR, OIL WELL, MANAGING
 DIRECTOR, GAS WELL, DIRECTOR, OIL
 WELL, DIRECTOR, GAS WELL.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1700,"Working Proprietor,
 Manufacturing/Proprietor,
 Manufacturing","Working Proprietor, Manufacturing plans
 organizes, co-ordinates and controls
 activities of enterprises wholly or partially
 and is engaged in producing, maintaining
 or repairing capital and consumer goods
 excluding crops, minerals, electricity and
 natural gas. Is designated according to the
 industry owned and controlled, such as:
 WORKING PROPRIETOR, TEXTILE MILLS,
 WORKING PROPRIETOR, ENGINEERING
 WORKSHOP. WORKING PROPRIETOR,
 SHOE FACTORY, WORKING PROPRIETOR,
 GLASS FACTORY. WORKING PROPRIETOR,
 STEEL ROLLING MILLS
 WORKING PROPRIETOR PRINTING PRESS,
 WORKING PROPRIETOR,
 TANNERY,
 WORKING PROPRIETOR, BAKERY.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1800,Director Manufacturing,"Director, Manufacturing plans, organizes,
 co-ordinates and controls within authority
 delegated, activities of private or public
 organizations, or one or more of its
 departments or branches, engaged in
 producing, maintaining or repairing capital
 or consumer goods, excluding crops,
 minerals, electricity and natural gas. Is
 designated according to work performed,
 authority exercised or economic activity
 directed such as: MANAGING DIRECTOR,
 (MANUFACTURING). DIRECTOR,
 PRODUCTION(MANUFACTURING).
 DIRECTOR, WORKS(MANUFACTURING).
 DIRECTOR, STEEL PLANT. DIRECTOR,
 TANNERY. DIRECTOR, BAKERY. DIRECTOR,
 SADDLERY.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.1900,"Working Proprietor, Wholesale
 Trade/Proprietor, Wholesale Trade","Working Proprietor, Wholesale Trade
 purchases goods in bulk and sells them to
 retailers or other large consumers for
 profit. Lays down and controls business
 policies to ensure profits, keeping in view
 price line, market trend and demand and
 supply position. Appoints Directors,
 Managers and Representatives and
 delegates financial and operational
 powers to them, if necessary. Runs
 wholesale trade on monopoly or zonal
 basis in specific commodities either by
 importing them from outside or
 manufacturing them in his own or other
 concern. May require a licence or permit
 from public authorities for wholesale
 trade. May undertake export business.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.2000,"Working Proprietor, Retail
 Trade/Proprietor, Retail Trade","Working Proprietor, Retail Trade conducts
 business in retail trade on own account,
 buying merchandise from manufacturers
 or wholesalers according to public
 demand and sells them to customers for
 profit. Lays down business policies
 regarding margin of profit and compliance
 with prescribed rules and regulations.
 May appoint Directors and Managers and may delegate financial and operational
 powers to them. May obtain licence or
 permit from public authorities for retail
 trade.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.2100,"Director, Wholesale Trade","Director, Wholesale Trade lays down
 policies within powers ,delegated, and
 plans, controls and directs operation of
 private or public enterprise or segment of
 its activities engaged in buying and selling
 of goods in wholesale. Is designated
 according to work performed, such as:
 MANAGING DIRECTOR (Wholesale Trade).
 CHAIRMAN, BOARD OF DIRECTORS
 (Wholesale Trade).",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.2200,"Director, Retail Trade","Director, Retail Trade lays down policies
 within powers delegated and plans,
 controls and directs operation of private
 or public enterprises or a segment of its
 activities, engaged in buying and selling
 goods in retail. Is designated according to
 work performed such as: MANAGING
 DIRECTOR (Retail Trade), CHAIRMAN,
 BOARD OF DIRECTORS (Retail Trade)
 DIRECTOR-IN-CHARGE (Retail Trade).",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.2300,"Working Proprietor, Transport","Working Proprietor, Transport plans,
 organizes, co-ordinates and controls
 activities of the organization or
 establishment wholly or partly owned by
 him, is engaged in transporting
 passengers and freight by buses, trucks,
 taxis, rickshaws, tongas, and other means
 of road transport; by boats, launches,
 ships, etc. plying on inland or coastal
 waters or on high seas; by aircraft for
 providing transport and other services,
 incidental to transport.",NA,NA
